fid,lo_tp_quad,lo_tp_lote,SQL,IPTU22_QtdProprietarios,IPTU22_AnoConstrucaoCorrigido,IPTU22_AreaTerreno,IPTU22_AreaConstruida,IPTU22_AreaOcupada,IPTU22_CA,IPTU22_QtdPavimentos,IPTU22_QtdEsquinas,IPTU22_TipoTerreno,IPTU22_Testada,IPTU_Progressivo,PEUC,Tombado,Ocupado,Publico,UnicoDono,Tipologia
"5224",F,F,"0020860024","1","1929","283.0","250.0","250.0","9","10","0.0",Normal,"6,30",Não,Não,Não,Não,Não,Sim,Uso Misto
"5225",F,F,"0020450012","1","1965","165.0","307.0","153.0","19","20","0.0",Normal,"5,50",Não,Não,Não,Não,Não,Sim,Uso Misto
"5226",F,F,"0020490002","1","1939","96.0","100.0","50.0","10","20","0.0",Normal,"8,03",Não,Não,Não,Não,Não,Sim,Residencial
"5227",F,F,"0020550043","1","1939","80.0","100.0","70.0","13","20","0.0",Normal,"4,30",Não,Não,Não,Não,Não,Sim,Residencial
"5228",F,F,"0020530033","1","1939","35.0","30.0","30.0","9","10","0.0",Normal,"6,05",Não,Não,Não,Não,Não,Sim,Não Residencial
"5229",F,F,"0030130029","1","1964","86.0","100.0","50.0","12","20","0.0",Normal,"5,00",Não,Não,Não,Não,Não,Sim,Residencial
"5230",F,F,"0020450000","2","1970","130.0","99.0","122.0","15","30","0.0",Normal,"8,15",Não,Não,Não,Não,Não,Não,Uso Misto
"5231",F,F,"0020410054","1","1978","407.0","506.0","330.0","12","20","0.0",Normal,"26,56",Não,Não,Não,Não,Não,Sim,Não Residencial
"5232",F,F,"0020890024","1","1952","175.0","320.0","160.0","18","20","0.0",Normal,"7,65",Não,Não,Não,Não,Não,Sim,Uso Misto
"5233",F,F,"0020890027","1","1959","901.0","2617.0","880.0","29","30","2.0",De esquina,"0,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"5234",F,F,"0020430046","1","1964","245.0","776.0","230.0","32","40","0.0",Normal,"7,00",Não,Não,Não,Não,Não,Sim,Uso Misto
"5235",F,F,"0020890025","1","1952","175.0","320.0","160.0","18","20","0.0",Normal,"7,37",Não,Não,Não,Não,Não,Sim,Não Residencial
"5236",F,F,"0020570085","1","1959","207.0","290.0","200.0","14","20","0.0",Normal,"6,90",Não,Não,Não,Não,Não,Sim,Uso Misto
"5237",F,F,"0020480011","1","1939","107.0","120.0","60.0","11","20","1.0",De esquina,"5,40",Não,Não,Não,Não,Não,Sim,Residencial
"5238",F,F,"0020290041","1","1944","40.0","40.0","40.0","10","10","0.0",Normal,"3,70",Não,Não,Não,Não,Não,Sim,Não Residencial
"5239",F,F,"0030190079","1","1977","52.0","96.0","52.0","18","20","0.0",Terreno interno,"4,00",Não,Não,Não,Não,Não,Sim,Residencial
"5240",F,F,"0020810008","1","1989","381.0","350.0","350.0","9","10","0.0",Normal,"6,70",Não,Não,Não,Não,Não,Sim,Não Residencial
"5241",F,F,"0020420004","1","1950","192.0","120.0","120.0","6","10","0.0",Normal,"6,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"5242",F,F,"0020570074","1","1949","135.0","130.0","65.0","10","20","0.0",Terreno interno,"8,45",Não,Não,Não,Não,Não,Sim,Residencial
"5243",F,F,"0020860016","1","1929","99.0","150.0","99.0","15","20","0.0",Normal,"14,25",Não,Não,Não,Não,Não,Sim,Uso Misto
"5244",F,F,"0020450000","2","1970","130.0","99.0","122.0","15","30","0.0",Normal,"8,15",Não,Não,Não,Não,Não,Não,Uso Misto
"5245",F,F,"0020800081","1","1954","62.0","100.0","55.0","16","20","0.0",Terreno interno,"7,50",Não,Não,Não,Não,Não,Sim,Residencial
"5246",F,F,"0020860015","1","0","6.0","0.0","0.0","0","0","0.0",Normal,"6,30",Não,Não,Não,Não,Sim,Sim,Terreno
"5247",F,F,"0020410043","1","1952","230.0","350.0","175.0","15","20","0.0",Normal,"5,76",Não,Não,Não,Não,Não,Sim,Uso Misto
"5248",F,F,"0020410010","1","1949","138.0","130.0","130.0","9","10","0.0",Normal,"7,90",Não,Não,Não,Não,Não,Sim,Não Residencial
"5249",F,F,"0020800106","1","1929","90.0","181.0","90.0","20","20","0.0",Normal,"6,00",Não,Não,Não,Não,Não,Sim,Residencial
"5250",F,F,"0020410042","1","1952","230.0","350.0","175.0","15","20","0.0",Normal,"5,75",Não,Não,Não,Não,Não,Sim,Uso Misto
"5251",F,F,"0020450046","1","1979","188.0","323.0","177.0","17","20","0.0",Normal,"6,00",Não,Não,Não,Não,Não,Sim,Uso Misto
"5252",F,F,"0020420003","1","1959","197.0","300.0","150.0","15","20","0.0",Normal,"6,17",Não,Não,Não,Não,Não,Sim,Uso Misto
"5253",F,F,"0020770010","1","1970","116.0","285.0","110.0","25","30","0.0",Normal,"4,65",Não,Não,Não,Não,Não,Sim,Uso Misto
"5254",F,F,"0020830002","1","1946","135.0","350.0","120.0","26","30","1.0",De esquina,"9,00",Não,Não,Sim,Não,Não,Sim,Não Residencial
"5255",F,F,"0020860029","1","1934","412.0","374.0","374.0","9","10","0.0",Normal,"8,80",Não,Não,Não,Não,Não,Sim,Não Residencial
"5256",F,F,"0020410041","1","1970","270.0","230.0","230.0","9","10","0.0",Normal,"11,70",Não,Não,Não,Não,Não,Sim,Não Residencial
"5257",F,F,"0020820020","1","1934","92.0","80.0","80.0","9","10","0.0",Normal,"4,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"5258",F,F,"0020430084","1","1949","217.0","280.0","200.0","13","20","1.0",De esquina,"17,00",Não,Não,Não,Não,Não,Sim,Uso Misto
"5259",F,F,"0020490026","1","1976","447.0","493.0","447.0","11","10","0.0",Normal,"14,20",Não,Não,Não,Não,Não,Sim,Não Residencial
"5260",F,F,"0020430089","1","1954","102.0","100.0","100.0","10","10","0.0",Normal,"8,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"5261",F,F,"0020480022","1","1939","66.0","110.0","55.0","17","20","0.0",Normal,"5,95",Não,Não,Não,Não,Não,Sim,Residencial
"5262",F,F,"0020420006","1","1962","205.0","723.0","203.0","35","40","0.0",Normal,"6,40",Não,Não,Não,Não,Não,Sim,Uso Misto
